Imputation_ID,Site_ID,Target_Column_1,Target_Column_2,Iteration_Completed,Algorithm,Note
4,Central,Imputed_Value_4_0,0,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_1,1,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_2,0,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_3,1,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_4,0,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_5,1,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_6,0,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_7,1,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_8,0,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
4,Central,Imputed_Value_4_9,1,50,SIMICE,R-compliant SIMICE imputation 4 stored at central site
